name,lat,long,review,cusine,num_rate,cost_one,Location
Sreeraj Lassi Bar,12.98266354,77.61078872,181,"beverages, shake, ice cream, desserts",4.3,300,commercial street
Pure Veg Meals By LunchBox,12.95709,77.6626,43,north indian,4,300,old airport road
Hotel Revoli Inn,12.95597678,77.59207126,65,"chinese, north indian, mughlai",4,300,shanti nagar
GOPIZZA,13.0009569,77.6325712,17,"pizza, fast food",3.8,300,banaswadi
Donne Biriyanis Junction,13.01066849,77.63506573,874,"biryani, south indian",3.5,300,kammanahalli
Pasta Street,12.93304603,77.63107996,4060,"pasta, pizza, italian, european, salad, desserts, beverages",4.1,300,koramangala 4th block
New Tandoor,12.98524091,77.66750269,276,"north indian, chinese, mughlai, rolls, biryani, seafood",3.9,300,cv raman nagar
Daily Sushi,12.97579083,77.60248683,55,"japanese, korean, sushi, asian",3.9,300,church street
Dum Biryani Adda,12.96786986,77.65442189,3615,"biryani, north indian",4,300,jeevan bhima nagar
The Filter Coffee,13.01780676,77.64303122,936,"south indian, coffee",4.3,300,kalyan nagar
Zaatar,12.99595105,77.66673524,699,"bbq, arabian, biryani, chinese, north indian, mughlai, desserts, beverages",3.8,300,old madras road
The Dessert Zone,12.984222,77.678224,194,"desserts, bakery",3.7,300,kaggadasapura
Hamza Hotel,12.98604819,77.60495793,308,"north indian, chinese, mughlai, biryani",4.2,300,shivajinagar
AB's - Absolute Barbecues,12.9498712,77.69909033,14867,"north indian, mangalorean, bbq, street food, desserts, salad, beverages",3.6,300,marathahalli
Khan Saheb Grills and Rolls,12.97127921,77.63509657,1058,"north indian, rolls, kebab, mughlai, biryani, beverages",4,300,indiranagar
Toscano,12.9749375,77.6029375,83,"italian, pizza, salad, continental, desserts, beverages, seafood",4,500,church street
Just Bake,12.99625772,77.61357486,15,bakery,3.6,500,frazer town
Bucket Biryani,12.96713211,77.6089846,7,"north indian, biryani, chinese, mughlai",4.1,500,brigade road
Ghee Tadka Khichdi,12.968125,77.6507868,1627,"north indian, street food",4.4,500,jeevan bhima nagar
Apsara Ice Creams,12.98897084,77.66380459,391,"ice cream, desserts",4.2,500,cv raman nagar
New Taj Darbar,12.9853641,77.6052562,64,"north indian, chinese, mughlai, biryani",3.6,500,shivajinagar
Aubree,12.97290301,77.61848833,30,"bakery, fast food, italian, thai, desserts",4.2,500,mg road
Absolute Shawarma,12.97223683,77.65378989,54,"lebanese, rolls",3.8,500,thippasandra
Suchithra Biryani House,12.95907295,77.65509512,360,"biryani, north indian, chinese, seafood, mughlai",4.1,500,old airport road
1522 - The Pub,12.97306539,77.60894537,108,"chinese, north indian, continental, finger food, seafood, beverages",4.3,500,residency road
RS Shiv Sagar,12.97449707,77.61002932,344,"north indian, south indian, asian, continental, chinese, beverages, desserts",3.8,500,mg road
Chopstick,12.9677649,77.6545273,688,"chinese, sichuan",3.7,500,jeevan bhima nagar
Mainland China,12.97521551,77.60392025,2360,"chinese, asian, sushi, momos, japanese, thai, beverages",4.2,500,church street
Aligarh House by EatFit,13.0084027,77.65178159,321,"biryani, north indian, kebab, desserts, beverages",3.6,500,banaswadi
Sangam Sweets,13.01899329,77.64292831,1,"mithai, fast food, street food, beverages",4,500,kalyan nagar
Hotel Fanoos,12.96475091,77.60647767,847,"rolls, biryani, fast food, arabian",4.3,500,richmond road
Brik Oven,12.97486037,77.60533679,2837,"cafe, italian, fast food, beverages, waffle, desserts",4.1,500,church street
Chaatimes,12.97481039,77.60834724,1335,"street food, fast food",4.1,500,brigade road
Sendhoor Coffee,12.97053429,77.63336559,171,"south indian, beverages",3.7,500,indiranagar
Shiv Sagar,13.00214294,77.63314325,5,"south indian, north indian, oriental, street food, desserts, beverages, shake",3.7,500,banaswadi
Magnolia Bakery,12.99790063,77.69656576,1674,"bakery, desserts",4.2,500,kr puram
Empire Juices and Desserts,12.96717361,77.60895509,781,"juices, beverages, shake, ice cream",4.5,500,brigade road
Bangarpet Chats,13.002592,77.66766,1,street food,3.9,500,old madras road
The Thick Shake Factory,12.99147265,77.61156757,7,"ice cream, shake, desserts, tea, beverages",3.7,500,frazer town
Motis Kitchen,12.97254427,77.65337247,499,"south indian, kerala, chinese, seafood, chettinad",4.2,150,thippasandra
Sri Srinivas Pork Hotel,12.94867695,77.62745127,41,fast food,3.3,150,ejipura
NOTO - Healthy Ice Cream,12.97309344,77.60917078,16,"ice cream, mithai, desserts",3.7,150,brigade road
Tomba Kitchens,12.95036853,77.62522638,79,"naga, chinese, beverages",4.3,150,ejipura
Cafe Coffee Day,12.97052,77.60996,27,"cafe, fast food, coffee, desserts, beverages",4,150,ground floor garuda mall brigade road
Momo Monk,12.968187,77.650777,723,momos,4.1,150,jeevan bhima nagar
Rahhams,13.00090939,77.61313699,1032,"biryani, mughlai, north indian, kebab, chinese",4.1,150,frazer town
Le Arabia,12.933545,77.6227283,72,"arabian, north indian, chinese, fast food, beverages, desserts",3.5,150,koramangala 5th block
Bombay Kulfi,12.93716429,77.62471676,0,desserts,New,150,koramangala 6th block
Indiana Burgers,12.98393181,77.67857652,2161,"burger, rolls, beverages, desserts, shake",3.9,150,kaggadasapura
Crusto・・s - Cheese Burst Pizza,12.94041178,77.62519659,18,pizza,3.8,150,koramangala 6th block
Chichaba's Taj,13.00035697,77.61733733,553,"north indian, mughlai, biryani, kebab, seafood, beverages",4,150,frazer town
Goila Butter Chicken,12.93727473,77.6244301,123,"north indian, mughlai, biryani, rolls",4.1,350,koramangala 6th block
Sukh Sagar,12.93333064,77.62315605,520,"south indian, north indian, chinese, street food, ice cream, desserts, beverages",4.1,350,koramangala 5th block
Chaitra Restaurant,13.01309498,77.64244784,64,"north indian, chinese, andhra, biryani, seafood, fast food, south indian",3.6,350,kalyan nagar
Sichuan,12.96799929,77.65310442,1208,"chinese, asian, thai, momos, sichuan",4,350,jeevan bhima nagar
Third Wave Coffee,12.9745178,77.6068982,399,"cafe, coffee, fast food, beverages",4.2,350,church street
Tharavadu,12.9371584,77.61963833,5,"kerala, biryani, chinese, sichuan",3.6,350,koramangala 5th block
Shanthi Sagar,12.98717857,77.61890743,211,"south indian, north indian, chinese, street food, desserts, shake, beverages",4,350,ulsoor
Juice Junction,12.9721019,77.6012196,124,"juices, beverages, sandwich, fast food, shake, rolls, healthy food, street food",4.3,350,st. marks road
TrueCakes,13.01441405,77.63561927,154,bakery,3.7,350,kammanahalli
Kolkata Famous Kati Roll,12.969265,77.6825825,11,rolls,4,350,kaggadasapura
Home Plate by EatFit,13.008305,77.651848,90,"north indian, beverages",3.8,350,banaswadi
Lassi Corner,12.94445759,77.61735309,1,"beverages, fast food, desserts, shake",3.8,350,koramangala 8th block
Oh! Calcutta,12.9752165,77.60390013,1681,"bengali, north indian, seafood, mughlai",4.1,400,church street
Richie Rich,12.98683423,77.58000903,756,"desserts, beverages, fast food, ice cream, shake",4.3,400,race course road
Calcutta Victoria Chat House,13.00128344,77.66169537,173,"north indian, street food, desserts, beverages",3.8,400,banaswadi
Mother's Meal,12.98149785,77.66686767,162,"north indian, chinese",4.3,400,cv raman nagar
Big Bang Pizza,12.9948082,77.61502594,92,"pizza, fast food, burger, beverages",4,400,frazer town
Sattvam,12.993855,77.700745,583,"north indian, south indian",3.9,400,whitefield
Al Taza,12.93076712,77.6329555,33,lebanese,4.3,400,koramangala 1st block
Green Onion,12.9734091,77.6092974,1369,"chinese, seafood, sichuan",4.2,400,residency road
Karavali Family Restaurant,12.9729775,77.60928199,28,"mangalorean, biryani, chinese, south indian",3.9,400,brigade road
Main Lassi Shop,12.9851821,77.60358933,7957,"beverages, ice cream, juices, fast food, street food, sandwich, shake",3.8,400,shivajinagar
Haka,12.97522434,77.60392327,362,"chinese, momos",4.1,400,church street
Firangi Bake,12.9712619,77.65841637,1445,"italian, mexican",3.9,400,thippasandra
Chung's Chinese Corner,12.98909499,77.59394813,244,"chinese, asian, seafood, thai, sichuan",3.7,300,cunningham road
Snack House,12.994739,77.61505,502,"fast food, momos",3.7,300,frazer town
Kulfi Shulfi- Kulfis andﾂIce Cream,12.98453752,77.67565124,4,"ice cream, desserts",4.3,300,cv raman nagar
Fresh Bites,13.00927851,77.64967304,261,"north indian, chinese",3.7,300,banaswadi
Cake Menu,12.957084,77.702718,2416,bakery,3.6,300,marathahalli
SLAY Coffee,12.95704326,77.66238168,575,coffee,4,300,old airport road
Taj Hotel,12.98534251,77.6072016,171,"chinese, south indian, north indian, mughlai",3.8,300,shivajinagar
Burger Seigneur,12.97504236,77.60257144,184,"cafe, burger, continental, beverages, desserts",4.2,300,st. marks road
Tapri By The Corner,12.93556934,77.62117088,177,"north indian, chinese",3.9,300,koramangala 5th block
Hotel Navayuga,12.97665502,77.57567089,281,"andhra, biryani",4.3,300,majestic
Dum Safar Biryani,12.9255192,77.6369965,79,"biryani, kebab, north indian, bbq, desserts, beverages",4.3,300,koramangala 1st block
Gramin,12.93469099,77.61329323,3662,"north indian, healthy food, beverages, shake",4.1,300,koramangala 7th block
Sri Murugan Cafe,12.99276671,77.66391121,11,"south indian, chinese, beverages",4,100,cv raman nagar
Habibi Falafel,13.01421086,77.6370576,13,"arabian, fast food, beverages, desserts",4.2,100,kammanahalli
Delhi Food Point,12.92719414,77.63774291,525,"north indian, beverages",3.6,100,koramangala 1st block
Sree Krishna Kafe,12.93711429,77.6194375,958,"south indian, beverages",4.2,100,koramangala 5th block
FB CafﾃｩﾂByﾂFrozen Bottle,12.95911717,77.65690173,12,bakery,3.6,100,old airport road
Al Zara Mandi Arabian Restaurant,13.00073984,77.61436176,76,"arabian, north indian, mughlai",4,100,frazer town
Say Cheese Cake,12.93709599,77.62468793,2497,"bakery, desserts, shake",4.2,100,koramangala 6th block
Maharaja Military Canteen,12.98504075,77.59636158,66,south indian,3.6,100,cunningham road
Hotel Salala,12.95896872,77.65535731,100,"north indian, south indian, chinese, mughlai",3.8,100,old airport road
Tandoori Taal,12.98581852,77.58769054,84,"north indian, seafood, desserts",4,100,race course road
Namma Madurai,12.97165298,77.65077475,62,south indian,4.2,100,thippasandra
Swiss Cream,12.99435901,77.66663264,114,"ice cream, waffle, desserts, sandwich, shake, beverages",4,100,old madras road
Sindhoora Gardenia,12.993883,77.7012517,0,"andhra, north indian, mughlai, chinese, seafood, biryani, beverages, desserts",New,300,kr puram
Tawakkal Mubarak Hotel,12.96174369,77.67017685,12,"mughlai, biryani",3.7,300,old airport road
Kabab Biryani Corner,12.95656556,77.61966985,39,"south indian, chinese, rolls, north indian",3.6,300,near richmond road
Kanti Bakes & Flakes,12.99348478,77.66736422,241,"bakery, desserts, mithai",4.5,300,old madras road
Olio - The Wood Fired Pizzeria,12.94041178,77.62519659,20,"pizza, italian",3.6,300,koramangala 6th block
Savitha Family Restaurant,12.93554646,77.62855668,291,"north indian, chinese, seafood, mughlai, desserts, beverages, sichuan",3.8,300,koramangala 4th block
Louis Burger,12.9402673,77.6252286,1316,"burger, fast food",4.1,300,koramangala 6th block
Fiero! Pizzeria,12.93758679,77.61911497,266,"pizza, fast food",3.9,300,koramangala 6th block
Lakeview Milkbar,12.97589312,77.6037962,1698,"desserts, cafe, fast food, sandwich, burger, ice cream, shake",4,300,mg road
Hyderabadi Biryani Utsav,12.99510451,77.666406,233,"biryani, hyderabadi, north indian, chinese, fast food",4,300,old madras road
Juicy,12.95904061,77.65538648,142,"beverages, juices, fast food, sandwich, shake",4,300,old airport road
Asia Kitchen By Mainland China,12.97522891,77.60390516,6,"chinese, momos, thai, asian, seafood, sushi, beverages",4.1,300,church street
Karim's Delhi 6,12.97216855,77.60089438,55,"mughlai, north indian, rolls",4,300,st. marks road
Kunafa World,12.99533254,77.61414215,101,desserts,4.5,300,frazer town
Malabar Hotel,12.98549476,77.67201483,0,kerala,4,300,kaggadasapura
Carols Pastries & Bakers,13.01764963,77.66903389,421,"bakery, desserts",4,300,rammurthy nagar
Keventers Ice Cream,12.97020822,77.6101584,75,"ice cream, desserts, shake, beverages",4.3,300,near brigade road
